time,open,high,low,close,tick_volume,spread,real_volume
1562097600,0.98476,0.98662,0.98446,0.9861,5019,19,0
1562112000,0.98608,0.98627,0.98403,0.98408,1637,20,0
1562126400,0.98408,0.98538,0.98334,0.98527,3110,19,0
1562140800,0.98528,0.98719,0.98452,0.98539,5733,18,0
1562155200,0.98543,0.98583,0.98359,0.98577,5929,19,0
1562169600,0.98577,0.98695,0.98353,0.98653,7010,19,0
1562184000,0.9865,0.98721,0.98602,0.98628,1223,20,0
1562198400,0.98624,0.98652,0.98558,0.98624,2290,19,0
1562212800,0.98624,0.98636,0.98554,0.98624,1868,19,0
1562227200,0.98625,0.9866,0.98554,0.98649,3563,20,0
1562241600,0.98651,0.9869,0.98464,0.98511,3625,20,0
1562256000,0.98511,0.98616,0.98467,0.98488,2574,19,0
1562270400,0.98488,0.98529,0.98434,0.9844,1020,21,0
1562284800,0.98452,0.9854,0.98424,0.98529,1724,20,0
1562299200,0.98529,0.9855,0.98476,0.98508,2067,20,0
1562313600,0.98508,0.98751,0.98506,0.98742,4823,20,0
1562328000,0.98742,0.99192,0.98667,0.99068,6341,19,0
1562342400,0.99068,0.99308,0.99055,0.99231,9786,18,0
1562356800,0.9923,0.99272,0.99138,0.99147,3065,20,0
1562544000,0.99132,0.99163,0.99062,0.99123,1606,20,0
1562558400,0.99123,0.9913,0.9898,0.98985,2600,19,0
1562572800,0.98986,0.9918,0.98977,0.99106,4391,19,0
1562587200,0.99106,0.99234,0.99072,0.99191,4713,18,0
1562601600,0.99191,0.99455,0.99178,0.99316,5167,19,0
1562616000,0.99316,0.99459,0.99263,0.99366,2544,20,0
1562630400,0.9935,0.99461,0.99307,0.99456,4063,20,0
1562644800,0.99456,0.99481,0.99366,0.99414,2290,20,0
1562659200,0.99411,0.99489,0.99306,0.9944,5183,20,0
1562673600,0.99439,0.99506,0.99303,0.99312,4701,19,0
1562688000,0.99312,0.99357,0.99221,0.99293,5518,18,0
1562702400,0.99293,0.99389,0.99247,0.99339,3034,20,0
1562716800,0.99337,0.99405,0.99269,0.99384,1609,20,0
1562731200,0.99386,0.99403,0.99286,0.99289,1655,20,0
1562745600,0.99292,0.99315,0.99091,0.99094,4722,18,0
1562760000,0.99094,0.99264,0.98874,0.98907,6930,19,0
1562774400,0.98905,0.99102,0.98864,0.9895,8081,20,0
1562788800,0.9895,0.99008,0.98898,0.98931,3978,19,0
1562803200,0.98915,0.98941,0.98697,0.98768,2709,20,0
1562817600,0.9877,0.98775,0.98528,0.9859,2701,19,0
1562832000,0.9859,0.98731,0.98548,0.98557,4141,19,0
1562846400,0.98557,0.98769,0.98447,0.98694,7659,18,0
1562860800,0.98694,0.99036,0.98621,0.98971,6856,19,0
1562875200,0.9897,0.99039,0.98898,0.99001,5613,19,0
1562889600,0.98979,0.99072,0.98925,0.99024,2430,20,0
1562904000,0.99026,0.99042,0.98896,0.98921,2598,19,0
1562918400,0.98921,0.98948,0.98611,0.98665,4519,18,0
1562932800,0.98655,0.98728,0.98501,0.98587,6769,18,0
1562947200,0.98587,0.98704,0.98352,0.98402,7394,20,0
1562961600,0.98402,0.98474,0.98384,0.98396,3269,20,0
1563148800,0.98474,0.9848,0.98315,0.98407,2326,19,0
1563163200,0.98407,0.98536,0.98406,0.98434,3064,20,0
1563177600,0.98434,0.98483,0.98268,0.9828,4259,19,0
1563192000,0.9828,0.98322,0.98165,0.98276,4209,19,0
1563206400,0.98277,0.98507,0.98266,0.98461,4835,19,0
1563220800,0.98461,0.98529,0.98411,0.98428,2370,20,0
1563235200,0.98427,0.98486,0.98379,0.98486,1773,20,0
1563249600,0.98484,0.98534,0.98472,0.98512,1880,21,0
1563264000,0.98512,0.98521,0.98346,0.98397,3269,20,0
1563278400,0.98397,0.9886,0.98371,0.98776,5426,19,0
1563292800,0.98777,0.98921,0.98669,0.98806,6388,18,0
1563307200,0.98805,0.98932,0.9874,0.98755,4152,19,0
1563321600,0.98757,0.98839,0.98727,0.98794,1219,20,0
1563336000,0.98794,0.98794,0.98714,0.98719,1696,20,0
1563350400,0.98719,0.98971,0.98705,0.98959,3475,19,0
1563364800,0.9896,0.99067,0.98846,0.98907,4078,19,0
1563379200,0.98907,0.98947,0.98661,0.98747,4466,18,0
1563393600,0.98747,0.98773,0.98637,0.98719,2332,20,0
1563408000,0.98684,0.9873,0.98529,0.98534,1539,19,0
1563422400,0.98531,0.98584,0.98492,0.98527,2241,20,0
1563436800,0.98527,0.98588,0.98465,0.98499,3909,19,0
1563451200,0.98499,0.98908,0.98484,0.9865,6374,18,0
1563465600,0.98647,0.98784,0.98595,0.9869,5393,19,0
1563480000,0.9869,0.98701,0.98079,0.98126,6290,19,0
1563494400,0.98127,0.98407,0.98047,0.98278,2390,19,0
1563508800,0.98278,0.98339,0.98215,0.98328,2470,20,0
1563523200,0.98328,0.98461,0.98211,0.98361,4158,20,0
1563537600,0.9836,0.98374,0.98171,0.98227,5629,18,0
1563552000,0.98227,0.98277,0.98074,0.98157,6475,18,0
1563566400,0.98158,0.98439,0.98129,0.98142,5480,19,0
1563753600,0.98357,0.98357,0.98145,0.98332,2239,19,0
1563768000,0.98332,0.98397,0.98277,0.98345,3131,20,0
1563782400,0.98344,0.98376,0.98155,0.98169,3760,20,0
1563796800,0.98169,0.98227,0.98045,0.98083,4328,19,0
1563811200,0.98084,0.98167,0.9803,0.98119,4693,19,0
1563825600,0.98119,0.98226,0.98061,0.98184,2444,19,0
1563840000,0.98185,0.98334,0.9815,0.98307,2816,19,0
1563854400,0.98306,0.98453,0.98306,0.984,2939,19,0
1563868800,0.984,0.98497,0.98302,0.98451,3196,20,0
1563883200,0.98451,0.98512,0.98271,0.98324,3681,18,0
1563897600,0.98326,0.98537,0.98289,0.98499,5299,18,0
1563912000,0.98499,0.98582,0.98445,0.9851,3093,20,0
1563926400,0.98486,0.98615,0.98442,0.98568,1689,20,0
1563940800,0.98566,0.98669,0.98548,0.98629,2001,20,0
1563955200,0.98629,0.98735,0.98565,0.9858,3813,18,0
1563969600,0.9858,0.98627,0.98464,0.98506,4602,18,0
1563984000,0.98506,0.98554,0.98354,0.98509,5138,18,0
1563998400,0.98508,0.98593,0.98451,0.98451,2963,19,0
1564012800,0.98451,0.98518,0.98418,0.98477,1638,20,0
1564027200,0.98477,0.98525,0.98437,0.985,2277,19,0
1564041600,0.98499,0.98644,0.98467,0.98606,3028,18,0
1564056000,0.98605,0.99023,0.98464,0.98807,7925,19,0
1564070400,0.98805,0.9913,0.98658,0.99099,10057,18,0
1564084800,0.99099,0.99163,0.9902,0.99061,3176,18,0
1564099200,0.99054,0.99111,0.99014,0.99037,1185,19,0
1564113600,0.99037,0.99086,0.98993,0.99081,1667,20,0
1564128000,0.99081,0.99195,0.99062,0.99168,3579,20,0
1564142400,0.99168,0.99328,0.99126,0.9927,4793,19,0
1564156800,0.99269,0.99429,0.99167,0.99385,7710,19,0
1564171200,0.99386,0.99452,0.99307,0.99314,2100,19,0
1564358400,0.99342,0.9935,0.99219,0.99226,931,21,0
1564372800,0.99225,0.9932,0.99157,0.99306,1167,19,0
1564387200,0.99306,0.99329,0.99141,0.99161,2725,19,0
1564401600,0.9916,0.99289,0.99079,0.99215,3473,19,0
1564416000,0.99213,0.99267,0.99107,0.99202,4583,19,0
1564430400,0.99201,0.99206,0.99098,0.99133,2588,20,0
1564444800,0.99132,0.99186,0.99042,0.99156,2762,20,0
1564459200,0.99156,0.99213,0.99078,0.99152,2023,19,0
1564473600,0.99152,0.99212,0.99012,0.99036,4795,20,0
1564488000,0.99036,0.99085,0.98898,0.98935,6279,19,0
