Time,open,high,low,close
2009-01-02 10:00:00,1.3868,1.3885,1.384,1.3841
2009-01-02 14:00:00,1.384,1.3968,1.3838,1.393
2009-01-02 18:00:00,1.3929,1.3952,1.3857,1.3918
2009-01-02 22:00:00,1.3919,1.3986,1.3844,1.3856
2009-01-03 02:00:00,1.3857,1.3924,1.384,1.3923
2009-01-05 06:00:00,1.3883,1.3962,1.3843,1.3856
2009-01-05 10:00:00,1.3857,1.393,1.3847,1.3926
2009-01-05 14:00:00,1.3925,1.3942,1.3656,1.3665
2009-01-05 18:00:00,1.3664,1.3697,1.3554,1.3639
2009-01-05 22:00:00,1.3638,1.3642,1.3546,1.3595
2009-01-06 02:00:00,1.3596,1.364,1.3563,1.3629
2009-01-06 06:00:00,1.3628,1.3658,1.3568,1.3591
2009-01-06 10:00:00,1.3592,1.3617,1.3504,1.354
2009-01-06 14:00:00,1.3539,1.3564,1.3364,1.3383
2009-01-06 18:00:00,1.3384,1.3432,1.3313,1.3412
2009-01-06 22:00:00,1.3413,1.3503,1.3358,1.3464
2009-01-07 02:00:00,1.3463,1.3536,1.3462,1.3498
2009-01-07 06:00:00,1.3502,1.3519,1.3432,1.3483
2009-01-07 10:00:00,1.3484,1.3542,1.3481,1.3489
2009-01-07 14:00:00,1.3488,1.3627,1.3462,1.3626
2009-01-07 18:00:00,1.3627,1.3746,1.3582,1.366
2009-01-07 22:00:00,1.3658,1.3722,1.3601,1.3648
2009-01-08 02:00:00,1.3649,1.3669,1.3591,1.3655
2009-01-08 06:00:00,1.3656,1.3658,1.3558,1.3587
2009-01-08 10:00:00,1.3586,1.3663,1.3581,1.3659
2009-01-08 14:00:00,1.3658,1.3662,1.3533,1.3585
2009-01-08 18:00:00,1.3584,1.3795,1.3534,1.3742
2009-01-08 22:00:00,1.3743,1.3768,1.367,1.3697
2009-01-09 02:00:00,1.3698,1.3737,1.3685,1.3703
2009-01-09 06:00:00,1.3704,1.3709,1.3656,1.3661
2009-01-09 10:00:00,1.3659,1.3686,1.3632,1.3666
2009-01-09 14:00:00,1.3667,1.373,1.3636,1.3715
2009-01-09 18:00:00,1.3713,1.375,1.3492,1.3513
2009-01-09 22:00:00,1.3514,1.3533,1.3432,1.3451
2009-01-10 02:00:00,1.3452,1.3472,1.3414,1.3472
