,Date,Time,Open,High,Low,Close,Volume
1369,2021.03.28,00:00,1732.79,1733.13,1730.5,1731.0,3183
1370,2021.03.29,00:00,1731.07,1732.78,1705.61,1711.86,83373
1371,2021.03.30,00:00,1711.88,1714.27,1678.63,1685.45,96297
1372,2021.03.31,00:00,1685.49,1715.12,1677.81,1707.31,92898
1373,2021.04.01,00:00,1707.83,1730.37,1705.68,1729.71,82668
1374,2021.04.04,00:00,1727.1,1729.81,1726.85,1727.98,3966
1375,2021.04.05,00:00,1727.63,1733.42,1721.19,1729.29,64753
1376,2021.04.06,00:00,1729.2,1745.31,1727.45,1743.16,83135
1377,2021.04.07,00:00,1743.14,1743.27,1730.51,1736.75,76768
1378,2021.04.08,00:00,1736.77,1758.58,1733.1,1754.11,75635
1379,2021.04.09,00:00,1754.01,1757.24,1731.16,1743.75,76207
1380,2021.04.11,00:00,1743.63,1744.06,1740.42,1741.63,2260
1381,2021.04.12,00:00,1741.76,1744.88,1727.33,1731.89,73992
1382,2021.04.13,00:00,1731.71,1748.8,1723.64,1746.54,83620
1383,2021.04.14,00:00,1746.47,1749.2,1732.53,1736.55,76438
1384,2021.04.15,00:00,1736.46,1769.5,1734.28,1763.79,81856
1385,2021.04.16,00:00,1763.86,1783.67,1759.62,1776.29,76125
1386,2021.04.18,00:00,1777.47,1778.08,1774.7,1776.69,2719
1387,2021.04.19,00:00,1776.71,1789.9,1766.67,1772.05,87546
1388,2021.04.20,00:00,1772.06,1780.31,1763.53,1776.68,87938
1389,2021.04.21,00:00,1776.7,1797.54,1776.39,1793.48,83552
1390,2021.04.22,00:00,1793.37,1797.73,1777.28,1783.07,86576
1391,2021.04.23,00:00,1783.01,1795.88,1769.9,1777.0,75752
1392,2021.04.25,00:00,1775.81,1775.95,1773.78,1774.77,2564
1393,2021.04.26,00:00,1774.74,1783.36,1768.81,1779.97,79626
1394,2021.04.27,00:00,1779.98,1785.48,1773.65,1775.38,76715
1395,2021.04.28,00:00,1775.39,1783.89,1762.52,1783.8,84878
