,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,Time
34079,34079,1637323200,1.12996,1.13051,1.12498,1.12877,25556,0,0,2021-11-19 18:00:00
34080,34080,1637337600,1.12879,1.13222,1.12875,1.12984,25603,0,0,2021-11-19 22:00:00
34081,34081,1637352000,1.12983,1.13027,1.12829,1.12829,10467,0,0,2021-11-20 02:00:00
34082,34082,1637539200,1.12884,1.12898,1.12649,1.12724,7910,0,0,2021-11-22 06:00:00
34083,34083,1637553600,1.12724,1.12787,1.12648,1.12778,9009,0,0,2021-11-22 10:00:00
34084,34084,1637568000,1.12778,1.12878,1.12601,1.128,16890,0,0,2021-11-22 14:00:00
34085,34085,1637582400,1.128,1.12901,1.12656,1.12802,15424,0,0,2021-11-22 18:00:00
34086,34086,1637596800,1.12801,1.12802,1.12359,1.12484,24296,0,0,2021-11-22 22:00:00
34087,34087,1637611200,1.12485,1.12501,1.12307,1.12364,8138,0,0,2021-11-23 02:00:00
34088,34088,1637625600,1.12362,1.12439,1.12317,1.12373,4174,0,0,2021-11-23 06:00:00
34089,34089,1637640000,1.12373,1.12414,1.1226,1.12342,5451,0,0,2021-11-23 10:00:00
34090,34090,1637654400,1.12342,1.1275,1.1232,1.12593,21593,0,0,2021-11-23 14:00:00
34091,34091,1637668800,1.12593,1.12692,1.12344,1.12518,19223,0,0,2021-11-23 18:00:00
34092,34092,1637683200,1.12513,1.12714,1.12402,1.1254,22040,0,0,2021-11-23 22:00:00
34093,34093,1637697600,1.12542,1.12551,1.12461,1.12474,9060,0,0,2021-11-24 02:00:00
34094,34094,1637712000,1.12461,1.125,1.12388,1.12396,6078,0,0,2021-11-24 06:00:00
34095,34095,1637726400,1.12395,1.1245,1.12325,1.12394,8951,0,0,2021-11-24 10:00:00
34096,34096,1637740800,1.12394,1.12554,1.12054,1.12082,17737,0,0,2021-11-24 14:00:00
34097,34097,1637755200,1.12081,1.12201,1.11922,1.1207,19029,0,0,2021-11-24 18:00:00
34098,34098,1637769600,1.12069,1.1216,1.11861,1.11958,25234,0,0,2021-11-24 22:00:00
34099,34099,1637784000,1.11957,1.12052,1.11883,1.11982,9454,0,0,2021-11-25 02:00:00
34100,34100,1637798400,1.1196,1.12125,1.11954,1.12071,4034,0,0,2021-11-25 06:00:00
34101,34101,1637812800,1.12072,1.12183,1.12064,1.12126,4037,0,0,2021-11-25 10:00:00
34102,34102,1637827200,1.12127,1.12265,1.12121,1.1223,9226,0,0,2021-11-25 14:00:00
34103,34103,1637841600,1.12228,1.12299,1.1215,1.1219,9742,0,0,2021-11-25 18:00:00
34104,34104,1637856000,1.1219,1.12223,1.12061,1.12093,8456,0,0,2021-11-25 22:00:00
34105,34105,1637870400,1.12093,1.12122,1.12046,1.12083,12741,1,0,2021-11-26 02:00:00
34106,34106,1637884800,1.1206,1.12248,1.12044,1.12179,10472,0,0,2021-11-26 06:00:00
34107,34107,1637899200,1.12179,1.12278,1.12123,1.12241,11354,0,0,2021-11-26 10:00:00
34108,34108,1637913600,1.12241,1.12791,1.12207,1.12648,31069,0,0,2021-11-26 14:00:00
34109,34109,1637928000,1.12648,1.1297,1.1258,1.1293,24296,0,0,2021-11-26 18:00:00
