,time,open,high,low,close,tick_volume,spread,real_volume
6815,1701214200,1.09883,1.09945,1.09871,1.09911,563,16,0
6816,1701216000,1.09882,1.0994,1.09846,1.09939,165,24,0
6817,1701217800,1.09939,1.09946,1.09913,1.09925,294,19,0
6818,1701219600,1.09923,1.10034,1.09923,1.10033,609,16,0
6819,1701221400,1.10032,1.10047,1.10003,1.10031,810,16,0
6820,1701223200,1.10033,1.10046,1.09968,1.09984,739,16,0
6821,1701225000,1.09985,1.10069,1.09969,1.10052,1371,16,0
6822,1701226800,1.10053,1.10162,1.10053,1.10121,2108,16,0
6823,1701228600,1.10122,1.10143,1.1004,1.10052,1443,16,0
6824,1701230400,1.10053,1.10073,1.1002,1.10072,1173,16,0
6825,1701232200,1.10071,1.10077,1.09969,1.10057,935,16,0
6826,1701234000,1.10058,1.10068,1.09999,1.1002,627,16,0
6827,1701235800,1.10025,1.1003,1.09975,1.09977,708,16,0
6828,1701237600,1.09976,1.09988,1.09959,1.09968,508,16,0
6829,1701239400,1.09968,1.1002399999999999,1.09966,1.10015,506,16,0
6830,1701241200,1.1001400000000001,1.10034,1.09975,1.10003,760,16,0
6831,1701243000,1.10001,1.10021,1.0997,1.10011,909,16,0
6832,1701244800,1.10012,1.10038,1.09953,1.1,978,16,0
6833,1701246600,1.10001,1.10032,1.09954,1.10002,1741,16,0
6834,1701248400,1.10002,1.10002,1.09852,1.0988,1885,16,0
6835,1701250200,1.09879,1.0989,1.09811,1.09837,1699,16,0
6836,1701252000,1.09836,1.09975,1.09755,1.09867,3143,16,0
6837,1701253800,1.09868,1.09953,1.09867,1.09888,2591,16,0
6838,1701255600,1.09889,1.09899,1.0982,1.0984099999999999,1963,16,0
6839,1701257400,1.09838,1.09838,1.09709,1.09737,2282,16,0
6840,1701259200,1.09737,1.09761,1.09691,1.09709,1813,16,0
6841,1701261000,1.0971,1.09769,1.09681,1.09758,1706,16,0
6842,1701262800,1.09759,1.09765,1.09704,1.0973600000000001,1782,16,0
6843,1701264600,1.09733,1.0984,1.09732,1.09839,1544,16,0
6844,1701266400,1.09838,1.09877,1.09783,1.09823,1696,16,0
6845,1701268200,1.09823,1.09871,1.09799,1.0984,1790,16,0
6846,1701270000,1.09842,1.09874,1.09786,1.09835,3018,16,0
6847,1701271800,1.09833,1.09939,1.09709,1.09717,5371,16,0
6848,1701273600,1.09718,1.09804,1.09611,1.09792,3265,16,0
6849,1701275400,1.09793,1.09898,1.09758,1.09759,3921,16,0
6850,1701277200,1.0976,1.09901,1.09593,1.09633,4847,16,0
6851,1701279000,1.0963,1.09752,1.09592,1.09739,3273,16,0
6852,1701280800,1.09738,1.09769,1.09621,1.09641,2889,16,0
6853,1701282600,1.09642,1.09702,1.09607,1.09674,2317,16,0
6854,1701284400,1.0967500000000001,1.09765,1.09651,1.09731,1512,16,0
6855,1701286200,1.0973,1.09775,1.0971899999999999,1.09751,1306,16,0
6856,1701288000,1.0975,1.09801,1.09715,1.09775,1562,16,0
6857,1701289800,1.09774,1.09845,1.09756,1.09836,1373,16,0
6858,1701291600,1.09835,1.09938,1.09833,1.09835,1638,16,0
6859,1701293400,1.09836,1.0984,1.09762,1.09821,1245,16,0
6860,1701295200,1.0982,1.09831,1.09718,1.0971899999999999,1401,16,0
6861,1701297000,1.0972,1.09745,1.09703,1.09714,987,16,0
6862,1701298800,1.09717,1.09738,1.09713,1.09728,421,16,0
6863,1701300600,1.09729,1.09729,1.09674,1.09677,490,17,0
6864,1701302400,1.09672,1.09711,1.09669,1.09696,376,18,0
6865,1701304200,1.09697,1.09714,1.09674,1.09707,450,16,0
6866,1701306000,1.09714,1.09731,1.0969,1.09718,293,16,0
6867,1701307800,1.09718,1.09728,1.09712,1.09723,208,16,0
6868,1701309600,1.09723,1.09746,1.09711,1.09741,532,16,0
6869,1701311400,1.0974,1.0983,1.09728,1.09817,715,16,0
6870,1701313200,1.09817,1.09817,1.09747,1.09748,909,16,0
6871,1701315000,1.09749,1.09785,1.09676,1.09686,1546,16,0
6872,1701316800,1.09686,1.09742,1.09662,1.09733,929,16,0
6873,1701318600,1.09733,1.0977,1.09726,1.09756,1086,16,0
6874,1701320400,1.09756,1.09764,1.09721,1.09735,709,16,0
6875,1701322200,1.09734,1.09749,1.09728,1.09733,622,16,0
6876,1701324000,1.09733,1.09752,1.09693,1.097,596,16,0
6877,1701325800,1.09701,1.09704,1.09673,1.09679,460,16,0
6878,1701327600,1.0968,1.09722,1.09673,1.09683,677,16,0
6879,1701329400,1.09683,1.09714,1.09642,1.09712,823,16,0
6880,1701331200,1.09711,1.09764,1.09711,1.09748,937,16,0
6881,1701333000,1.09748,1.09808,1.09744,1.09778,814,16,0
6882,1701334800,1.09779,1.09779,1.09672,1.09672,1518,16,0
6883,1701336600,1.09672,1.09672,1.09392,1.09507,2468,16,0
6884,1701338400,1.09507,1.09585,1.0943100000000001,1.09456,2659,16,0
6885,1701340200,1.09456,1.09456,1.09194,1.09224,2931,16,0
6886,1701342000,1.09223,1.09366,1.09192,1.09329,2348,16,0
6887,1701343800,1.09329,1.0937999999999999,1.09236,1.09242,2398,16,0
6888,1701345600,1.09241,1.09294,1.09087,1.09133,2021,16,0
6889,1701347400,1.09131,1.09219,1.09126,1.09172,1484,16,0
